Name,Google - Final URL Suffix,Google Tracking Template,Meta UTM,Google Ads,Media plan,Meta Ads Manager,Pintrest,Platforms,Website,Account Manager,Client Portal,Created by,Created time,Date,Figma File,Last edited by,Last edited time,Media Plan - GDRIVE,Monthly Budget,Paid Media Manager,TikTok Ads Manager,To Do List - Master,Tools we work with KBX - MASTER
Memsaab,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",https://ads.google.com/aw/campaigns?ocid=299707175&ascid=299707175&euid=1226364206&__u=2038040894&uscid=196141627&__c=1094476323&authuser=0&subid=gb-en-ha-aw-bk-c-bau%21o3~Cj0KCQjw-5y1BhC-ARIsAAM_oKniLo7ehwFBPNsckA2kolwSqyN5VudC86vGiJp-1mm_--1yVqxiz3oaAlhBEALw_wcB~145767355323~kwd-5934196923~19699786961~648419065116,,https://adsmanager.facebook.com/adsmanager/manage/campaigns?act=1965100467080529&business_id=1736258106631434&global_scope_id=1736258106631434&nav_entry_point=am_local_scope_selector&columns=name%2Cdelivery%2Cbudget%2Cspend%2Cresults%2Cresult_rate%2Creach%2Cimpressions%2Cfrequency%2Ccpm%2Cactions%3Aomni_view_content%2Ccost_per_action_type%3Aomni_view_content%2Cactions%3Aomni_add_to_cart%2Ccost_per_action_type%3Aomni_add_to_cart%2Cactions%3Aomni_purchase%2Ccost_per_action_type%3Aomni_purchase%2Cpurchase_roas%3Aomni_purchase&attribution_windows=default&date=2024-12-05_2024-12-06%2Ctoday&insights_date=2024-12-05_2024-12-06%2Ctoday&geography_breakdown=geography&impression_breakdown=impression&is_reload_from_account_change&breakdown_regrouping=true&nav_source=no_referrer,https://docs.google.com/spreadsheets/d/1wiPIM86qHzx8bOacBvC_zM_GGvYzatEdzcoWfAZhyZw/edit?gid=1121514582#gid=1121514582,"Google, Meta, TikTok",https://memsaabonline.com/,,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 24, 2024 2:14 PM",Memsaab Media Plan (Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Memsaab%20Media%20Plan%201537dee22b1780deae39e9eddd2c8ab6.csv),,"Ky ",https://business.tiktok.com/manage/overview?org_id=6976575943074643970,Check spend (https://www.notion.so/Check-spend-1517dee22b1780ee9a13c627a604e92d?pvs=21),Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
Hilditch & Key,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,"Google, Meta",https://www.hilditchandkey.co.uk/,,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 5, 2024 1:39 PM",,,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b178022ae75e7f4e8a34858?pvs=21),"Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21), Mixpanel (https://www.notion.so/Mixpanel-14d7dee22b1781be9092d3b797128d94?pvs=21), Stape.io (https://www.notion.so/Stape-io-14d7dee22b1781a79f7ce38cef316233?pvs=21)"
Ark Wildlife,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,,,,"Google, Meta",https://www.arkwildlife.co.uk/,Peter,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","January 6, 2025 1:52 PM",Ark Wildlife Media Plan | 2025 (Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Ark%20Wildlife%20Media%20Plan%202025%201667dee22b1780db8fe7f8a83f07f6d0.csv),"£17,500.00","Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b1780469334efc27b568146?pvs=21),"Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21), Google Ads (https://www.notion.so/Google-Ads-14d7dee22b1781558318d2ff74fb4588?pvs=21), Meta Ads (https://www.notion.so/Meta-Ads-14d7dee22b1781ff8dcdec6b77737000?pvs=21), simprosys (https://www.notion.so/simprosys-1537dee22b1780a8af97e24b98dd8ae1?pvs=21)"
Beds Online,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",https://ads.google.com/aw/conversions?ocid=730026199&ascid=730026199&euid=1226364206&__u=2038040894&uscid=196141627&__c=1094476323&authuser=0&subid=gb-en-ha-aw-bk-c-bau%21o3~Cj0KCQjw-5y1BhC-ARIsAAM_oKniLo7ehwFBPNsckA2kolwSqyN5VudC86vGiJp-1mm_--1yVqxiz3oaAlhBEALw_wcB~145767355323~kwd-5934196923~19699786961~648419065116,,https://adsmanager.facebook.com/adsmanager/manage/accounts?act=929964427777320&business_id=1736258106631434&global_scope_id=1736258106631434&nav_entry_point=am_local_scope_selector&breakdown_regrouping=1&nav_source=no_referrer,,"Google, Meta",https://bedsonlinestore.co.uk/,,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","December 24, 2024 3:29 PM",Beds Online Store | Media Plan 2025 (Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Beds%20Online%20Store%20Media%20Plan%202025%201667dee22b1780afbcd3ed326d2a5a21.csv),,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b178098b0bde0c440537116?pvs=21),"Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21), Meta Ads (https://www.notion.so/Meta-Ads-14d7dee22b1781ff8dcdec6b77737000?pvs=21), Google Search Console (https://www.notion.so/Google-Search-Console-14d7dee22b178181b815f116ff53ab8c?pvs=21), Google Tag Manager (https://www.notion.so/Google-Tag-Manager-14d7dee22b178128b1c3cd026fbda2eb?pvs=21), Google Ads (https://www.notion.so/Google-Ads-14d7dee22b1781558318d2ff74fb4588?pvs=21), Google Analytics (https://www.notion.so/Google-Analytics-14d7dee22b1781108f44ef852b23e915?pvs=21), Shopify (https://www.notion.so/Shopify-14d7dee22b1781ecaf2ee1afd1ac33c8?pvs=21), Mixpanel (https://www.notion.so/Mixpanel-14d7dee22b1781be9092d3b797128d94?pvs=21), Stape.io (https://www.notion.so/Stape-io-14d7dee22b1781a79f7ce38cef316233?pvs=21)"
domli,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_device={device}&utm_network={network}&utm_placement={placement}&utm_matchtype={matchtype}
","{lpurl}?gclid={gclid}
","utm_source=facebook&utm_medium=paid_social&utm_campaign={{http://campaign.id/}}&utm_content={{http://ad.id/}}&utm_term={{http://adset.id/}}&utm_platform={{site_source_name}}&utm_device={{device_type}}&utm_placement={{placement}}
",,https://docs.google.com/spreadsheets/d/15E5GnF3voz3UI4xmn-QH9sCpKwLnpCH1RE_ndAjlJPg/edit?gid=1755532207#gid=1755532207,,,Google,,Monika,,"Ky ","December 5, 2024 9:46 AM",,,"Ky ","January 6, 2025 3:20 PM",,,Ben Rix,,Check spend (https://www.notion.so/Check-spend-1517dee22b17800fa5eeddb9c0e2c0fb?pvs=21),"Elevar (https://www.notion.so/Elevar-14e7dee22b1780fda31af2ebb5d25f10?pvs=21), Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)"
Everest Beds,,,,https://ads.google.com/aw/campaigns?ocid=716684062&workspaceId=0&ascid=716684062&euid=1226364206&__u=2038040894&uscid=196141627&__c=1094476323&authuser=0&subid=gb-en-ha-aw-bk-c-bau%21o3~Cj0KCQjw-5y1BhC-ARIsAAM_oKniLo7ehwFBPNsckA2kolwSqyN5VudC86vGiJp-1mm_--1yVqxiz3oaAlhBEALw_wcB~145767355323~kwd-5934196923~19699786961~648419065116,,https://adsmanager.facebook.com/adsmanager/manage/campaigns?act=766908923441336&business_id=1736258106631434&global_scope_id=1736258106631434&nav_entry_point=am_local_scope_selector&columns=name%2Cdelivery%2Ccampaign_name%2Cbid%2Cbudget%2Clast_significant_edit%2Cattribution_setting%2Cresults%2Creach%2Cimpressions%2Ccost_per_result%2Cquality_score_organic%2Cquality_score_ectr%2Cquality_score_ecvr%2Cspend%2Cend_time%2Cschedule&attribution_windows=default&date=2024-08-08_2024-08-22%2Clast_14d&insights_date=2024-08-08_2024-08-22%2Clast_14d&filter_set=campaign.impressions-NUMBER%1EGREATER_THAN%1E%220%22%1DCAMPAIGN_GROUP_DELIVERY_STATUS-STRING_SET%1EIN%1E[%22active%22]&impression_breakdown=impression&selected_campaign_ids=120211448081200466&breakdown_regrouping=true&nav_source=no_referrer,,"Google, Meta",https://www.everestbeds.co.uk/,Peter,,"Ky ","December 5, 2024 10:26 AM",,,"Ky ","January 6, 2025 3:20 PM",Everest Beds - Media Plan (Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/Everest%20Beds%20-%20Media%20Plan%201537dee22b178037a9a2d91a57f91935.csv),,Ben Rix,,Check spend (https://www.notion.so/Check-spend-1517dee22b1780f593d1d442dc71819d?pvs=21),Google Merchant Center (https://www.notion.so/Google-Merchant-Center-14e7dee22b1780d18565d6ea0b5fd1d7?pvs=21)
Spin a Disc,,,,,,,,"Google, Meta",,Rhys,,"Ky ","December 9, 2024 3:21 PM",,,"Ky ","December 9, 2024 4:53 PM",,,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b1780169b9aeba6ff249066?pvs=21),
The Gallery Home,,,,,,,,,,,,"Ky ","December 9, 2024 4:55 PM",,,"Ky ","December 9, 2024 4:55 PM",,,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b1780718bb4dd280dc5af64?pvs=21),
Forever Party,,,,,,,,,,,,"Ky ","December 9, 2024 4:55 PM",,,"Ky ","December 9, 2024 4:56 PM",,,"Ky ",,Check spend (https://www.notion.so/Check-spend-1517dee22b17801580e1fc2a64541ddc?pvs=21),
Ted Baker,,,,,,,,"Google, Meta",,Nick,,"Ky ","December 10, 2024 9:48 AM",,,"Ky ","December 10, 2024 9:48 AM",,,,,,
LP Metal Detectors,,,,,,,,"Google, Meta",,Peter,,"Ky ","January 6, 2025 3:21 PM",,,"Ky ","January 6, 2025 4:09 PM",LP Media Plan | 2025 (Client%20Database%20-%20Master%2012f7dee22b178048a742db6adad4ea72/LP%20Media%20Plan%202025%201737dee22b178032a10fc49f57c9a8ed.csv),,"Ky ",,,
